customer_id,country,industry,company_size,acquisition_channel
C00121,France,Education,1000+,Direct
C00122,Australia,Technology,11-50,Event
C00123,USA,Finance,501-1000,Organic Search
C00124,USA,Healthcare,501-1000,Organic Search
C00125,USA,Retail,11-50,Direct
C00126,UK,Technology,1000+,Direct
C00127,France,,501-1000,Direct
C00128,Australia,Retail,201-500,Organic Search
C00129,USA,Healthcare,1000+,Event
C00130,UK,Finance,501-1000,Direct
C00131,UK,Healthcare,501-1000,Organic Search
C00132,USA,Education,11-50,Direct
C00133,USA,Technology,201-500,Direct
C00134,USA,Retail,1000+,Direct
C00135,India,Healthcare,51-200,Organic Search
C00136,USA,Healthcare,1-10,Event
C00137,UK,Healthcare,201-500,Organic Search
C00138,Germany,Technology,51-200,Organic Search
C00139,USA,,201-500,Direct
C00140,India,Healthcare,51-200,Referral
C00141,India,Technology,51-200,Referral
C00142,USA,Retail,201-500,Referral
C00143,UK,Education,11-50,Organic Search
C00144,USA,Manufacturing,201-500,Direct
C00145,USA,Technology,201-500,Referral
C00146,USA,Manufacturing,51-200,Paid Ads
C00147,Canada,Healthcare,1-10,Paid Ads
C00148,UK,Healthcare,51-200,Paid Ads
C00149,USA,Technology,501-1000,Event
C00150,USA,Manufacturing,201-500,Direct
C00151,India,Healthcare,1000+,Organic Search
C00152,USA,Retail,201-500,Organic Search
C00153,USA,Finance,11-50,Direct
C00154,UK,Finance,1000+,Event
C00155,India,Healthcare,51-200,Direct
C00156,USA,Manufacturing,11-50,Event
C00157,Germany,Education,201-500,Referral
C00158,France,Healthcare,51-200,Referral
C00159,USA,Education,51-200,Event
C00160,Germany,Education,501-1000,Direct
C00161,USA,Manufacturing,501-1000,Referral
C00162,Canada,Education,1-10,Direct
C00163,Canada,Retail,501-1000,Referral
C00164,UK,Manufacturing,1000+,Direct
C00165,USA,Healthcare,51-200,Direct
C00166,France,Retail,501-1000,Paid Ads
C00167,USA,Technology,1-10,Event
C00168,USA,Finance,201-500,Organic Search
C00169,USA,Healthcare,1000+,Event
C00170,Canada,Healthcare,501-1000,Direct
C00171,Germany,Healthcare,51-200,Direct
C00172,USA,Retail,201-500,Event
C00173,UK,Technology,51-200,Direct
C00174,USA,Manufacturing,201-500,Referral
C00175,Canada,Technology,1000+,Direct
C00176,USA,Retail,51-200,Event
C00177,Germany,Healthcare,501-1000,Event
C00178,USA,Finance,501-1000,Event
C00179,India,Healthcare,1-10,Paid Ads
C00180,USA,Manufacturing,201-500,Paid Ads
C00181,USA,Education,1-10,Paid Ads
C00182,USA,Finance,11-50,Paid Ads
C00183,India,Healthcare,501-1000,Paid Ads
C00184,Australia,Finance,201-500,Paid Ads
C00185,USA,Education,1000+,Paid Ads
C00186,Germany,Technology,1-10,Event
C00187,France,Retail,1000+,Organic Search
C00188,Canada,Healthcare,1000+,Paid Ads
C00189,UK,Manufacturing,1000+,Event
C00190,USA,Technology,1-10,Organic Search
C00191,USA,Healthcare,11-50,Paid Ads
C00192,Australia,Technology,1-10,Organic Search
C00193,India,Manufacturing,51-200,Organic Search
C00194,Canada,Healthcare,501-1000,Referral
C00195,USA,Education,1-10,Direct
C00196,USA,Education,1-10,Referral
C00197,Germany,,11-50,Organic Search
C00198,Australia,Finance,51-200,Event
C00199,Australia,Manufacturing,1-10,Paid Ads
C00200,France,Finance,501-1000,Direct
C00201,Canada,Healthcare,501-1000,Paid Ads
C00202,USA,Finance,1-10,Event
C00203,USA,Healthcare,1000+,Direct
C00204,Australia,Healthcare,1000+,Referral
C00205,Canada,Retail,51-200,Organic Search
C00206,USA,Healthcare,501-1000,Event
C00207,USA,Finance,1000+,Organic Search
C00208,Germany,Retail,501-1000,Organic Search
C00209,USA,Retail,51-200,Paid Ads
C00210,USA,Healthcare,51-200,Event
C00211,UK,Manufacturing,1000+,Organic Search
C00212,Germany,Manufacturing,1-10,Referral
C00213,Germany,Education,201-500,Direct
C00214,USA,Retail,11-50,Event
C00215,Germany,Healthcare,201-500,Paid Ads
C00216,USA,Manufacturing,201-500,Event
C00217,USA,Healthcare,501-1000,Paid Ads
C00218,Germany,Healthcare,51-200,Direct
C00219,Canada,Retail,501-1000,Referral
C00220,France,Education,1000+,Organic Search
C00221,Germany,Retail,11-50,Event
C00222,Canada,Technology,1000+,Paid Ads
C00223,USA,Manufacturing,1-10,Direct
C00224,USA,,11-50,Organic Search
C00225,USA,Manufacturing,501-1000,Direct
C00226,USA,Finance,501-1000,Referral
C00227,India,Healthcare,1000+,Organic Search
C00228,USA,Retail,501-1000,Organic Search
C00229,Australia,Manufacturing,501-1000,Organic Search
C00230,Canada,Technology,201-500,Paid Ads
C00231,France,Manufacturing,1-10,Organic Search
C00232,UK,Education,201-500,Direct
C00233,Canada,Healthcare,501-1000,Paid Ads
C00234,UK,Healthcare,51-200,Organic Search
C00235,USA,Retail,201-500,Direct
C00236,Germany,Finance,501-1000,Direct
C00237,USA,Retail,501-1000,Event
C00238,USA,Manufacturing,1-10,Direct
C00239,Canada,Education,1000+,Referral
C00240,USA,Technology,11-50,Organic Search
C00241,India,Retail,201-500,Organic Search
C00242,India,Finance,201-500,Organic Search
C00243,India,Retail,201-500,Direct
C00244,USA,Healthcare,501-1000,Direct
C00245,USA,Manufacturing,1-10,Organic Search
C00246,India,Manufacturing,501-1000,Paid Ads
C00247,UK,Manufacturing,501-1000,Paid Ads
C00248,India,Manufacturing,1000+,Referral
C00249,India,,51-200,Event
C00250,Australia,Manufacturing,1-10,Referral
C00251,USA,,201-500,Organic Search
C00252,USA,Finance,11-50,Organic Search
C00253,Australia,Manufacturing,201-500,Organic Search
C00254,USA,Finance,501-1000,Event
C00255,USA,Education,1-10,Direct
C00256,Canada,Manufacturing,1-10,Event
C00257,India,Retail,1-10,Referral
C00258,Germany,Manufacturing,51-200,Direct
C00259,Canada,Healthcare,201-500,Direct
C00260,USA,Technology,51-200,Referral
C00261,Canada,Retail,1000+,Direct
C00262,India,Retail,11-50,Paid Ads
C00263,USA,Healthcare,1000+,Referral
C00264,UK,Manufacturing,501-1000,Referral
C00265,Australia,Technology,51-200,Paid Ads
C00266,Germany,Retail,51-200,Event
C00267,Germany,Technology,1000+,Event
C00268,Germany,,501-1000,Event
C00269,USA,Manufacturing,1-10,Direct
C00270,USA,Education,501-1000,Paid Ads
C00271,France,Retail,201-500,Referral
C00272,France,Education,1000+,Referral
C00273,Australia,,501-1000,Referral
C00274,India,Finance,1-10,Direct
C00275,UK,Manufacturing,501-1000,Direct
C00276,UK,Healthcare,51-200,Event
C00277,France,Education,11-50,Direct
C00278,Canada,Healthcare,51-200,Event
C00279,Germany,Manufacturing,11-50,Event
C00280,France,Healthcare,501-1000,Referral
C00281,Australia,Manufacturing,201-500,Direct
C00282,USA,Healthcare,501-1000,Event
C00283,USA,,1-10,Paid Ads
C00284,USA,Finance,501-1000,Paid Ads
C00285,Canada,Healthcare,11-50,Direct
C00286,USA,Education,51-200,Referral
C00287,UK,Retail,201-500,Referral
C00288,UK,Manufacturing,501-1000,Event
C00289,USA,Technology,501-1000,Direct
C00290,Canada,Technology,51-200,Paid Ads
C00291,USA,Manufacturing,201-500,Event
C00292,USA,Finance,1000+,Event
C00293,France,Healthcare,501-1000,Organic Search
C00294,USA,Finance,501-1000,Direct
C00295,USA,Technology,1000+,Event
C00296,UK,Education,11-50,Paid Ads
C00297,France,Manufacturing,11-50,Organic Search
C00298,USA,Manufacturing,1-10,Paid Ads
C00299,Canada,Finance,51-200,Referral
C00300,USA,Education,201-500,Organic Search
C00301,USA,Finance,501-1000,Organic Search
C00302,UK,Healthcare,501-1000,Event
C00303,UK,Retail,1-10,Referral
C00304,Canada,Education,501-1000,Event
C00305,Germany,Retail,51-200,Direct
C00306,India,Healthcare,1-10,Paid Ads
C00307,UK,,51-200,Paid Ads
C00308,USA,Technology,1-10,Event
C00309,France,Retail,501-1000,Paid Ads
C00310,USA,Healthcare,1-10,Paid Ads
C00311,UK,Retail,11-50,Direct
C00312,USA,Manufacturing,201-500,Referral
C00313,USA,Finance,501-1000,Organic Search
C00314,India,Technology,1000+,Event
C00315,France,Manufacturing,201-500,Event
C00316,Germany,Manufacturing,501-1000,Direct
C00317,UK,Healthcare,201-500,Direct
C00318,USA,Finance,11-50,Organic Search
C00319,USA,Finance,201-500,Referral
C00320,USA,Education,1-10,Event
C00321,UK,Technology,201-500,Direct
C00322,Germany,Healthcare,501-1000,Event
C00323,Germany,Technology,1000+,Paid Ads
C00324,USA,,1000+,Event
C00325,India,,51-200,Referral
C00326,Germany,,201-500,Referral
C00327,Canada,Technology,1000+,Event
C00328,Canada,Manufacturing,201-500,Paid Ads
C00329,UK,Healthcare,1000+,Referral
C00330,USA,Retail,201-500,Direct
C00331,USA,Healthcare,501-1000,Event
C00332,France,Retail,201-500,Paid Ads
C00333,USA,Retail,501-1000,Direct
C00334,USA,Manufacturing,501-1000,Event
C00335,USA,Healthcare,51-200,Paid Ads
C00336,USA,Healthcare,1000+,Direct
C00337,Australia,Technology,1-10,Referral
C00338,Germany,Healthcare,501-1000,Event
C00339,UK,Technology,1000+,Event
C00340,USA,Finance,11-50,Referral
C00341,UK,Finance,201-500,Organic Search
C00342,UK,Finance,11-50,Direct
C00343,USA,Education,201-500,Referral
C00344,UK,Healthcare,51-200,Event
C00345,USA,Education,501-1000,Direct
C00346,Canada,Healthcare,1-10,Direct
C00347,Canada,Technology,501-1000,Organic Search
C00348,USA,Education,201-500,Event
C00349,USA,Education,1-10,Paid Ads
C00350,Canada,Education,501-1000,Organic Search
C00351,UK,Retail,1-10,Organic Search
C00352,Australia,Technology,201-500,Paid Ads
C00353,Germany,Finance,51-200,Paid Ads
C00354,USA,Technology,51-200,Organic Search
C00355,USA,Retail,501-1000,Direct
C00356,Canada,Healthcare,11-50,Referral
C00357,USA,Technology,201-500,Referral
C00358,Canada,Education,501-1000,Organic Search
C00359,India,Finance,501-1000,Direct
C00360,Canada,Finance,51-200,Paid Ads
C00361,USA,Healthcare,1-10,Organic Search
C00362,Canada,Technology,201-500,Event
C00363,UK,Retail,1-10,Direct
C00364,UK,Healthcare,1000+,Event
C00365,India,Technology,1000+,Event
C00366,USA,Manufacturing,201-500,Organic Search
C00367,India,Finance,11-50,Direct
C00368,India,Retail,1000+,Event
C00369,USA,Education,51-200,Direct
C00370,USA,Retail,11-50,Referral
C00371,USA,Education,501-1000,Event
C00372,USA,Retail,1000+,Event
C00373,USA,Finance,51-200,Direct
C00374,Germany,Education,501-1000,Referral
C00375,USA,Technology,11-50,Event
C00376,USA,Education,201-500,Organic Search
C00377,France,Healthcare,501-1000,Direct
C00378,USA,Technology,1-10,Direct
C00379,France,Healthcare,201-500,Event
C00380,USA,Retail,201-500,Referral
C00381,USA,Technology,11-50,Event
C00382,Germany,Retail,11-50,Paid Ads
C00383,Canada,Manufacturing,51-200,Event
C00384,Australia,Retail,51-200,Paid Ads
C00385,Germany,Retail,1-10,Organic Search
C00386,France,Healthcare,201-500,Direct
C00387,USA,Education,1-10,Direct
C00388,USA,Manufacturing,1-10,Referral
C00389,France,Retail,11-50,Event
C00390,France,Retail,1-10,Organic Search
C00391,India,Manufacturing,1-10,Paid Ads
C00392,UK,Manufacturing,501-1000,Referral
C00393,USA,Technology,51-200,Organic Search
C00394,France,Healthcare,51-200,Organic Search
C00395,USA,Manufacturing,201-500,Paid Ads
C00396,India,Manufacturing,51-200,Paid Ads
C00397,Australia,Finance,1000+,Direct
C00398,UK,Education,201-500,Event
C00399,France,Manufacturing,501-1000,Referral
C00400,France,,51-200,Event
C00401,USA,Education,501-1000,Referral
C00402,India,Education,51-200,Organic Search
C00403,UK,Retail,51-200,Paid Ads
C00404,France,Retail,501-1000,Paid Ads
C00405,USA,Retail,1-10,Organic Search
C00406,Australia,Retail,1-10,Organic Search
C00407,USA,Finance,1-10,Referral
C00408,USA,Manufacturing,1000+,Organic Search
C00409,India,Retail,1-10,Referral
C00410,USA,Technology,51-200,Event
C00411,USA,Retail,11-50,Paid Ads
C00412,India,Manufacturing,501-1000,Paid Ads
C00413,India,Retail,11-50,Paid Ads
C00414,Canada,Finance,1000+,Event
C00415,Canada,Healthcare,11-50,Event
C00416,UK,Healthcare,201-500,Direct
C00417,USA,Manufacturing,1-10,Referral
C00418,USA,Healthcare,1000+,Referral
C00419,Germany,Healthcare,51-200,Direct
C00420,France,Technology,1-10,Paid Ads
C00421,France,Manufacturing,1-10,Referral
C00422,France,Manufacturing,11-50,Referral
C00423,USA,Healthcare,201-500,Paid Ads
C00424,UK,Healthcare,1-10,Organic Search
C00425,USA,Healthcare,501-1000,Organic Search
C00426,UK,Education,501-1000,Direct
C00427,UK,Finance,1-10,Event
C00428,Australia,Retail,11-50,Referral
C00429,USA,Finance,11-50,Referral
C00430,USA,Manufacturing,51-200,Direct
C00431,USA,Technology,1000+,Direct
C00432,France,Retail,1000+,Referral
C00433,Canada,Technology,1000+,Paid Ads
C00434,USA,Education,201-500,Paid Ads
C00435,USA,Manufacturing,11-50,Event
C00436,Germany,Education,51-200,Referral
C00437,USA,Manufacturing,501-1000,Referral
C00438,France,Technology,1000+,Referral
C00439,Germany,Technology,501-1000,Referral
C00440,USA,,501-1000,Direct
C00441,USA,Manufacturing,1-10,Organic Search
C00442,India,,201-500,Referral
C00443,USA,Technology,51-200,Organic Search
C00444,USA,Education,201-500,Paid Ads
C00445,France,Retail,1-10,Event
C00446,India,Manufacturing,51-200,Paid Ads
C00447,India,Education,51-200,Referral
C00448,France,Finance,11-50,Paid Ads
C00449,USA,Finance,201-500,Direct
C00450,USA,Retail,201-500,Organic Search
C00451,France,Healthcare,11-50,Referral
C00452,Canada,Technology,501-1000,Direct
C00453,UK,Manufacturing,1-10,Organic Search
C00454,India,Education,201-500,Direct
C00455,USA,Technology,11-50,Paid Ads
C00456,UK,Education,51-200,Referral
C00457,USA,Manufacturing,1000+,Paid Ads
C00458,UK,Finance,11-50,Event
C00459,USA,Technology,1000+,Referral
C00460,USA,Retail,501-1000,Paid Ads
C00461,USA,Healthcare,1-10,Referral
C00462,Canada,Retail,1000+,Organic Search
C00463,Germany,Healthcare,501-1000,Referral
C00464,Canada,Education,1000+,Referral
C00465,India,Technology,51-200,Organic Search
C00466,USA,Technology,51-200,Paid Ads
C00467,USA,Healthcare,51-200,Referral
C00468,Australia,Finance,51-200,Direct
C00469,USA,Manufacturing,11-50,Referral
C00470,India,Retail,51-200,Paid Ads
C00471,USA,Education,51-200,Organic Search
C00472,India,Retail,11-50,Paid Ads
C00473,USA,Retail,51-200,Event
C00474,Australia,Education,501-1000,Referral
C00475,UK,Education,501-1000,Referral
C00476,India,Technology,201-500,Organic Search
C00477,USA,Retail,501-1000,Referral
C00478,Canada,,1-10,Direct
C00479,India,Manufacturing,1-10,Direct
C00480,UK,Healthcare,1-10,Paid Ads
C00481,Canada,Education,11-50,Organic Search
C00482,Germany,Technology,501-1000,Event
C00483,UK,Manufacturing,1-10,Paid Ads
C00484,Canada,Finance,201-500,Organic Search
C00485,Canada,Technology,11-50,Organic Search
C00486,India,Technology,201-500,Paid Ads
C00487,USA,Manufacturing,501-1000,Paid Ads
C00488,USA,Finance,51-200,Referral
C00489,India,Healthcare,201-500,Event
C00490,Australia,Manufacturing,51-200,Direct
C00491,UK,Finance,11-50,Referral
C00492,Canada,Technology,201-500,Organic Search
C00493,USA,Finance,201-500,Event
C00494,USA,Technology,1000+,Event
C00495,UK,Manufacturing,11-50,Paid Ads
C00496,USA,Education,11-50,Event
C00497,Canada,Manufacturing,1-10,Event
C00498,USA,Retail,501-1000,Organic Search
C00499,India,Retail,201-500,Referral
C00500,India,Retail,201-500,Event
C00501,Germany,Manufacturing,11-50,Paid Ads
C00502,UK,Healthcare,11-50,Referral
C00503,USA,Manufacturing,501-1000,Paid Ads
C00504,France,Education,11-50,Event
C00505,Germany,Finance,51-200,Referral
C00506,USA,Manufacturing,51-200,Event
C00507,India,Manufacturing,1000+,Organic Search
C00508,France,Technology,51-200,Referral
C00509,India,Technology,51-200,Paid Ads
C00510,Germany,Technology,501-1000,Organic Search
C00511,Canada,Manufacturing,201-500,Direct
C00512,UK,Healthcare,51-200,Paid Ads
C00513,India,Finance,1000+,Event
C00514,Australia,Finance,11-50,Paid Ads
C00515,USA,Education,51-200,Direct
C00516,USA,Healthcare,1000+,Paid Ads
C00517,USA,Healthcare,501-1000,Organic Search
C00518,France,Finance,11-50,Paid Ads
C00519,India,Retail,1000+,Referral
C00520,USA,Technology,51-200,Direct
C00521,Canada,Technology,201-500,Paid Ads
C00522,USA,Finance,11-50,Direct
C00523,India,Healthcare,11-50,Organic Search
C00524,France,Education,201-500,Referral
C00525,France,Retail,11-50,Event
C00526,UK,Finance,51-200,Paid Ads
C00527,UK,Technology,11-50,Organic Search
C00528,USA,Manufacturing,51-200,Direct
C00529,USA,Healthcare,201-500,Direct
C00530,Australia,Manufacturing,1-10,Organic Search
C00531,France,Education,201-500,Paid Ads
C00532,India,Finance,51-200,Event
C00533,India,Technology,501-1000,Paid Ads
C00534,Canada,Retail,201-500,Referral
C00535,France,Manufacturing,501-1000,Paid Ads
C00536,India,Retail,501-1000,Referral
C00537,France,Education,51-200,Direct
C00538,USA,Technology,51-200,Referral
C00539,UK,Manufacturing,1-10,Event
C00540,USA,Education,1000+,Organic Search
C00541,India,Retail,11-50,Referral
C00542,Canada,Retail,201-500,Paid Ads
C00543,USA,Manufacturing,51-200,Referral
C00544,Germany,,201-500,Direct
C00545,Canada,Retail,1000+,Referral
C00546,USA,,1000+,Event
C00547,USA,Education,501-1000,Referral
C00548,Germany,Manufacturing,11-50,Event
C00549,UK,Healthcare,1-10,Paid Ads
C00550,France,Healthcare,201-500,Direct
C00551,UK,Technology,11-50,Organic Search
C00552,Australia,Finance,1-10,Paid Ads
C00553,Canada,Retail,201-500,Paid Ads
C00554,Canada,Healthcare,11-50,Organic Search
C00555,Australia,Technology,51-200,Referral
C00556,UK,Education,201-500,Referral
C00557,USA,Finance,11-50,Referral
C00558,USA,Finance,1000+,Direct
C00559,France,Technology,1-10,Paid Ads
C00560,Canada,Technology,11-50,Event
C00561,Germany,Retail,51-200,Organic Search
C00562,USA,Technology,201-500,Paid Ads
C00563,USA,Retail,201-500,Referral
C00564,USA,Retail,201-500,Organic Search
C00565,USA,Manufacturing,51-200,Event
C00566,Canada,Finance,1-10,Paid Ads
C00567,USA,,201-500,Paid Ads
C00568,UK,Finance,1-10,Direct
C00569,India,Finance,11-50,Paid Ads
C00570,USA,Manufacturing,1000+,Paid Ads
C00571,UK,Retail,1000+,Event
C00572,France,Retail,1-10,Event
C00573,USA,Technology,1-10,Organic Search
C00574,Canada,Manufacturing,1000+,Referral
C00575,Australia,Technology,201-500,Event
C00576,India,Manufacturing,501-1000,Organic Search
C00577,USA,Technology,501-1000,Paid Ads
C00578,India,Healthcare,51-200,Organic Search
C00579,UK,Finance,1000+,Organic Search
C00580,USA,Finance,1000+,Organic Search
C00581,UK,Education,51-200,Organic Search
C00582,India,Retail,501-1000,Event
C00583,UK,Education,11-50,Referral
C00584,USA,Healthcare,201-500,Organic Search
C00585,Canada,Education,201-500,Direct
C00586,USA,Finance,11-50,Paid Ads
C00587,USA,Retail,11-50,Paid Ads
C00588,USA,Healthcare,501-1000,Paid Ads
C00589,USA,Finance,51-200,Paid Ads
C00590,USA,Technology,11-50,Paid Ads
C00591,USA,Manufacturing,51-200,Organic Search
C00592,Canada,Healthcare,1-10,Referral
C00593,USA,Retail,201-500,Direct
C00594,USA,Education,501-1000,Event
C00595,Australia,Education,201-500,Direct
C00596,UK,Healthcare,501-1000,Event
C00597,Germany,Retail,1-10,Event
C00598,USA,Healthcare,201-500,Direct
C00599,USA,Retail,1-10,Organic Search
C00600,USA,Education,501-1000,Paid Ads
C00601,USA,Finance,11-50,Organic Search
C00602,USA,Technology,201-500,Paid Ads
C00603,USA,Finance,1-10,Referral
C00604,USA,Technology,1000+,Event
C00605,USA,Education,201-500,Direct
C00606,UK,Finance,201-500,Referral
C00607,USA,Finance,201-500,Paid Ads
C00608,USA,Healthcare,51-200,Organic Search
C00609,UK,Manufacturing,1-10,Direct
C00610,Germany,Education,1-10,Event
C00611,USA,Retail,201-500,Referral
C00612,France,Education,11-50,Event
C00613,Canada,Retail,201-500,Paid Ads
C00614,USA,Retail,51-200,Event
C00615,Australia,Technology,501-1000,Organic Search
C00616,India,Retail,51-200,Referral
C00617,USA,Retail,11-50,Referral
C00618,USA,Healthcare,201-500,Organic Search
C00619,France,Finance,1-10,Event
C00620,Germany,Education,1000+,Organic Search
C00621,USA,Education,201-500,Direct
C00622,USA,Retail,11-50,Organic Search
C00623,USA,Manufacturing,1-10,Event
C00624,UK,Education,51-200,Organic Search
C00625,Canada,Retail,501-1000,Paid Ads
C00626,USA,Technology,501-1000,Organic Search
C00627,UK,,201-500,Organic Search
C00628,Germany,Technology,51-200,Event
C00629,USA,Retail,1000+,Direct
C00630,USA,Healthcare,1000+,Direct
C00631,Germany,Manufacturing,11-50,Event
C00632,Australia,Retail,501-1000,Event
C00633,UK,Healthcare,51-200,Event
C00634,UK,Healthcare,201-500,Paid Ads
C00635,USA,Education,1-10,Referral
C00636,UK,Retail,201-500,Organic Search
C00637,UK,Retail,201-500,Event
C00638,USA,Healthcare,51-200,Event
C00639,USA,Healthcare,501-1000,Event
C00640,USA,Healthcare,51-200,Direct
C00641,USA,Education,1-10,Event
C00642,USA,Retail,51-200,Organic Search
C00643,USA,Healthcare,11-50,Event
C00644,USA,Technology,201-500,Organic Search
C00645,USA,Retail,501-1000,Paid Ads
C00646,Australia,Education,1000+,Referral
C00647,Canada,Technology,1-10,Direct
C00648,Germany,Finance,1000+,Organic Search
C00649,France,Retail,201-500,Paid Ads
C00650,UK,Finance,51-200,Referral
C00651,USA,Healthcare,1000+,Referral
C00652,UK,Education,11-50,Referral
C00653,Canada,Healthcare,51-200,Organic Search
C00654,Germany,Education,201-500,Paid Ads
C00655,UK,Manufacturing,1000+,Event
C00656,USA,Healthcare,1-10,Paid Ads
C00657,USA,Finance,1000+,Paid Ads
C00658,USA,Education,1000+,Paid Ads
C00659,Canada,Healthcare,501-1000,Organic Search
C00660,Canada,Retail,1000+,Organic Search
C00661,USA,Education,201-500,Organic Search
C00662,India,Education,1-10,Paid Ads
C00663,Canada,Healthcare,201-500,Organic Search
C00664,USA,,11-50,Referral
C00665,USA,Healthcare,51-200,Organic Search
C00666,USA,Finance,1000+,Direct
C00667,USA,,501-1000,Organic Search
C00668,USA,Education,1-10,Organic Search
C00669,USA,Education,501-1000,Organic Search
C00670,USA,Healthcare,501-1000,Organic Search
C00671,USA,Finance,501-1000,Direct
C00672,Australia,Finance,1000+,Event
C00673,USA,,1-10,Organic Search
C00674,UK,Retail,1-10,Referral
C00675,UK,Manufacturing,501-1000,Direct
